type	key	nevents	nfiles	size_TB	dataset
MC	ST_tW_antitop	7749000	12	0.021	/ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18NanoAODv15-150X_mc2018_realistic_v1-v1/NANOAODSIM
MC	ST_s_lep	19365999	21	0.043	/ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18NanoAODv15-150X_mc2018_realistic_v1-v1/NANOAODSIM
MC	ST_s_had	16391000	19	0.036	/ST_s-channel_4f_hadronicDecays_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18NanoAODv15-150X_mc2018_realistic_v1-v1/NANOAODSIM
MC	WW	15679000	14	0.027	/WW_TuneCP5_13TeV-pythia8/RunIISummer20UL18NanoAODv15-150X_mc2018_realistic_v1-v1/NANOAODSIM
MC	WZ	7940000	11	0.014	/WZ_TuneCP5_13TeV-pythia8/RunIISummer20UL18NanoAODv15-150X_mc2018_realistic_v1-v1/NANOAODSIM
MC	ZZ	3526000	5	0.006	/ZZ_TuneCP5_13TeV-pythia8/RunIISummer20UL18NanoAODv15-150X_mc2018_realistic_v1-v1/NANOAODSIM
MC	WJetsToQQ_HT400to600	9335298	15	0.028	/WJetsToQQ_HT-400to600_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv15-150X_mc2018_realistic_v1-v1/NANOAODSIM
MC	WJetsToQQ_HT600to800	13633226	21	0.049	/WJetsToQQ_HT-600to800_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv15-150X_mc2018_realistic_v1-v1/NANOAODSIM
MC	WJetsToQQ_HT800toInf	13581343	23	0.055	/WJetsToQQ_HT-800toInf_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv15-150X_mc2018_realistic_v1-v1/NANOAODSIM
MC	ZJetsToQQ_HT400to600	13930474	26	0.042	/ZJetsToQQ_HT-400to600_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv15-150X_mc2018_realistic_v1-v1/NANOAODSIM
MC	ZJetsToQQ_HT600to800	12029507	18	0.044	/ZJetsToQQ_HT-600to800_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv15-150X_mc2018_realistic_v1-v1/NANOAODSIM
MC	ZJetsToQQ_HT800toInf	9681521	17	0.040	/ZJetsToQQ_HT-800toInf_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL18NanoAODv15-150X_mc2018_realistic_v1-v1/NANOAODSIM
DATA	JetHT_Run2018A	171502033	184	0.397	/JetHT/Run2018A-UL2018_NanoAODv15-v2/NANOAOD
DATA	JetHT_Run2018B	78253065	87	0.187	/JetHT/Run2018B-UL2018_NanoAODv15-v2/NANOAOD
DATA	JetHT_Run2018C	70027804	72	0.168	/JetHT/Run2018C-UL2018_NanoAODv15-v2/NANOAOD
DATA	JetHT_Run2018D	355774350	383	0.837	/JetHT/Run2018D-UL2018_NanoAODv15-v2/NANOAOD
DATA	SingleMuon_Run2018A	241600265	165	0.303	/SingleMuon/Run2018A-UL2018_NanoAODv15-v2/NANOAOD
DATA	SingleMuon_Run2018B	119876473	108	0.151	/SingleMuon/Run2018B-UL2018_NanoAODv15-v2/NANOAOD
DATA	SingleMuon_Run2018C	110032072	96	0.140	/SingleMuon/Run2018C-UL2018_NanoAODv15-v2/NANOAOD
DATA	SingleMuon_Run2018D	513884680	371	0.649	/SingleMuon/Run2018D-UL2018_NanoAODv15-v2/NANOAOD
