dataset	primary	processed	tier	status	nevents	nfiles	size_TB	created
/QCD_HT2000toInf_TuneCP5_PSWeights_13TeV-madgraph-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_HT2000toInf_TuneCP5_PSWeights_13TeV-madgraph-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	1847781	5	0.009	2025-10-19
/QCD_HT200to300_TuneCP5_PSWeights_13TeV-madgraph-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_HT200to300_TuneCP5_PSWeights_13TeV-madgraph-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	17569141	17	0.031	2025-10-18
/QCD_HT300to500_TuneCP5_PSWeights_13TeV-madgraph-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_HT300to500_TuneCP5_PSWeights_13TeV-madgraph-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	16747056	22	0.040	2025-10-18
/QCD_HT500to700_TuneCP5_PSWeights_13TeV-madgraph-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_HT500to700_TuneCP5_PSWeights_13TeV-madgraph-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	15222746	23	0.049	2025-10-18
/QCD_HT700to1000_TuneCP5_PSWeights_13TeV-madgraph-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_HT700to1000_TuneCP5_PSWeights_13TeV-madgraph-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	13905714	22	0.051	2025-10-18
/QCD_Pt-1000_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-1000_MuEnrichedPt5_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	14243204	28	0.069	2025-10-18
/QCD_Pt-120To170_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-120To170_MuEnrichedPt5_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	19772747	24	0.049	2025-10-18
/QCD_Pt-15To20_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-15To20_MuEnrichedPt5_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	4529975	5	0.006	2025-10-18
/QCD_Pt-170To300_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-170To300_MuEnrichedPt5_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	34290911	53	0.110	2025-10-19
/QCD_Pt-20To30_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-20To30_MuEnrichedPt5_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	30853571	25	0.043	2025-10-18
/QCD_Pt-300To470_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-300To470_MuEnrichedPt5_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	29908653	55	0.115	2025-10-20
/QCD_Pt-30To50_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-30To50_MuEnrichedPt5_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	35474172	30	0.055	2025-10-18
/QCD_Pt-30to40_DoubleEMEnriched_MGG-80toInf_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-30to40_DoubleEMEnriched_MGG-80toInf_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	1982850	3	0.003	2025-10-16
/QCD_Pt-30toInf_DoubleEMEnriched_MGG-40to80_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-30toInf_DoubleEMEnriched_MGG-40to80_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	PRODUCTION	4537039	7	0.007	2025-10-16
/QCD_Pt-30toInf_DoubleEMEnriched_MGG-40to80_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v2/NANOAODSIM	QCD_Pt-30toInf_DoubleEMEnriched_MGG-40to80_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v2	NANOAODSIM	VALID	4537039	7	0.007	2025-10-16
/QCD_Pt-40ToInf_DoubleEMEnriched_MGG-80ToInf_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-40ToInf_DoubleEMEnriched_MGG-80ToInf_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	4742487	5	0.008	2025-10-15
/QCD_Pt-470To600_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-470To600_MuEnrichedPt5_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	19771458	36	0.083	2025-10-18
/QCD_Pt-50To80_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-50To80_MuEnrichedPt5_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	21491325	23	0.037	2025-10-18
/QCD_Pt-600To800_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-600To800_MuEnrichedPt5_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	18763139	34	0.082	2025-10-19
/QCD_Pt-800To1000_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-800To1000_MuEnrichedPt5_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	38921526	73	0.179	2025-10-20
/QCD_Pt-80To120_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt-80To120_MuEnrichedPt5_TuneCP5_13TeV-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	22005632	23	0.044	2025-10-18
/QCD_Pt_1000to1400_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_1000to1400_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	19892000	33	0.079	2025-10-19
/QCD_Pt_120to170_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_120to170_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	27348000	27	0.053	2025-10-19
/QCD_Pt_1400to1800_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_1400to1800_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	10722000	23	0.044	2025-10-20
/QCD_Pt_15to30_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_15to30_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	PRODUCTION	19298000	14	0.016	2026-01-05
/QCD_Pt_15to30_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v2/NANOAODSIM	QCD_Pt_15to30_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v2	NANOAODSIM	VALID	19092000	13	0.016	2025-12-29
/QCD_Pt_170to300_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_170to300_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	29926000	37	0.079	2025-10-19
/QCD_Pt_1800to2400_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_1800to2400_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	5236000	13	0.023	2025-10-17
/QCD_Pt_2400to3200_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_2400to3200_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	2848000	6	0.013	2025-10-18
/QCD_Pt_300to470_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_300to470_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	55264000	83	0.174	2025-10-19
/QCD_Pt_30to50_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_30to50_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	PRODUCTION	19204000	15	0.020	2026-01-05
/QCD_Pt_30to50_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v2/NANOAODSIM	QCD_Pt_30to50_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v2	NANOAODSIM	PRODUCTION	19204000	17	0.020	2026-01-05
/QCD_Pt_30to50_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v3/NANOAODSIM	QCD_Pt_30to50_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v3	NANOAODSIM	VALID	19204000	15	0.020	2026-01-05
/QCD_Pt_3200toInf_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_3200toInf_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	996000	3	0.005	2025-10-19
/QCD_Pt_470to600_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_470to600_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	52408000	73	0.181	2025-10-18
/QCD_Pt_50to80_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_50to80_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	19776000	15	0.024	2025-12-25
/QCD_Pt_600to800_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_600to800_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	INVALID	0	0	0.000	2025-09-19
/QCD_Pt_600to800_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v2/NANOAODSIM	QCD_Pt_600to800_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v2	NANOAODSIM	VALID	65088000	98	0.236	2025-10-18
/QCD_Pt_800to1000_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_800to1000_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	37782000	62	0.144	2025-10-19
/QCD_Pt_80to120_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	QCD_Pt_80to120_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	PRODUCTION	29938000	25	0.044	2026-01-05
/QCD_Pt_80to120_TuneCP5_13TeV_pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v2/NANOAODSIM	QCD_Pt_80to120_TuneCP5_13TeV_pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v2	NANOAODSIM	VALID	29320000	25	0.043	2025-12-29
/ST_s-channel_4f_hadronicDecays_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	ST_s-channel_4f_hadronicDecays_TuneCP5_13TeV-amcatnlo-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	5300000	8	0.012	2025-10-20
/ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	ST_s-channel_4f_leptonDecays_TuneCP5_13TeV-amcatnlo-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	5471000	6	0.012	2025-10-18
/ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	ST_t-channel_antitop_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	30609000	35	0.070	2025-10-18
/ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	ST_t-channel_top_4f_InclusiveDecays_TuneCP5_13TeV-powheg-madspin-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	VALID	63073000	66	0.143	2025-10-18
/ST_tW_antitop_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1/NANOAODSIM	ST_tW_antitop_5f_NoFullyHadronicDecays_TuneCP5_13TeV-powheg-pythia8	RunIISummer20UL16NanoAODv15-150X_mcRun2_asymptotic_v1-v1	NANOAODSIM	PRODUCTION	3654510	5	0.010	2026-01-05
