# label=2017UL_v15_MC
# source=/tmp/nano_v15_local.root
# columns: tree	branch	type	lenVar
Events	FatJet_globalParT3_QCD	Float_t	nFatJet
Events	FatJet_globalParT3_TopbWev	Float_t	nFatJet
Events	FatJet_globalParT3_TopbWmv	Float_t	nFatJet
Events	FatJet_globalParT3_TopbWq	Float_t	nFatJet
Events	FatJet_globalParT3_TopbWqq	Float_t	nFatJet
Events	FatJet_globalParT3_TopbWtauhv	Float_t	nFatJet
Events	FatJet_globalParT3_WvsQCD	Float_t	nFatJet
Events	FatJet_globalParT3_XWW3q	Float_t	nFatJet
Events	FatJet_globalParT3_XWW4q	Float_t	nFatJet
Events	FatJet_globalParT3_XWWqqev	Float_t	nFatJet
Events	FatJet_globalParT3_XWWqqmv	Float_t	nFatJet
Events	FatJet_globalParT3_Xbb	Float_t	nFatJet
Events	FatJet_globalParT3_Xcc	Float_t	nFatJet
Events	FatJet_globalParT3_Xcs	Float_t	nFatJet
Events	FatJet_globalParT3_Xqq	Float_t	nFatJet
Events	FatJet_globalParT3_Xtauhtaue	Float_t	nFatJet
Events	FatJet_globalParT3_Xtauhtauh	Float_t	nFatJet
Events	FatJet_globalParT3_Xtauhtaum	Float_t	nFatJet
Events	FatJet_globalParT3_massCorrGeneric	Float_t	nFatJet
Events	FatJet_globalParT3_massCorrX2p	Float_t	nFatJet
Events	FatJet_globalParT3_withMassTopvsQCD	Float_t	nFatJet
Events	FatJet_globalParT3_withMassWvsQCD	Float_t	nFatJet
Events	FatJet_globalParT3_withMassZvsQCD	Float_t	nFatJet
Events	FatJet_hadronFlavour	UChar_t	nFatJet
Events	FatJet_hfEmEF	Float_t	nFatJet
Events	FatJet_hfHEF	Float_t	nFatJet
Events	FatJet_lsf3	Float_t	nFatJet
Events	FatJet_mass	Float_t	nFatJet
Events	FatJet_msoftdrop	Float_t	nFatJet
Events	FatJet_muEF	Float_t	nFatJet
Events	FatJet_muonIdx3SJ	Short_t	nFatJet
Events	FatJet_n2b1	Float_t	nFatJet
Events	FatJet_n3b1	Float_t	nFatJet
Events	FatJet_nConstituents	UChar_t	nFatJet
Events	FatJet_neEmEF	Float_t	nFatJet
Events	FatJet_neHEF	Float_t	nFatJet
Events	FatJet_neMultiplicity	Short_t	nFatJet
Events	FatJet_particleNetLegacy_QCD	Float_t	nFatJet
Events	FatJet_particleNetLegacy_Xbb	Float_t	nFatJet
Events	FatJet_particleNetLegacy_Xcc	Float_t	nFatJet
Events	FatJet_particleNetLegacy_Xqq	Float_t	nFatJet
Events	FatJet_particleNetLegacy_mass	Float_t	nFatJet
Events	FatJet_particleNetWithMass_H4qvsQCD	Float_t	nFatJet
Events	FatJet_particleNetWithMass_HbbvsQCD	Float_t	nFatJet
Events	FatJet_particleNetWithMass_HccvsQCD	Float_t	nFatJet
Events	FatJet_particleNetWithMass_QCD	Float_t	nFatJet
Events	FatJet_particleNetWithMass_TvsQCD	Float_t	nFatJet
Events	FatJet_particleNetWithMass_WvsQCD	Float_t	nFatJet
Events	FatJet_particleNetWithMass_ZvsQCD	Float_t	nFatJet
Events	FatJet_particleNet_QCD	Float_t	nFatJet
Events	FatJet_particleNet_QCD0HF	Float_t	nFatJet
Events	FatJet_particleNet_QCD1HF	Float_t	nFatJet
Events	FatJet_particleNet_QCD2HF	Float_t	nFatJet
Events	FatJet_particleNet_WVsQCD	Float_t	nFatJet
Events	FatJet_particleNet_XbbVsQCD	Float_t	nFatJet
Events	FatJet_particleNet_XccVsQCD	Float_t	nFatJet
Events	FatJet_particleNet_XggVsQCD	Float_t	nFatJet
Events	FatJet_particleNet_XqqVsQCD	Float_t	nFatJet
Events	FatJet_particleNet_XteVsQCD	Float_t	nFatJet
Events	FatJet_particleNet_XtmVsQCD	Float_t	nFatJet
Events	FatJet_particleNet_XttVsQCD	Float_t	nFatJet
Events	FatJet_particleNet_massCorr	Float_t	nFatJet
Events	FatJet_phi	Float_t	nFatJet
Events	FatJet_pt	Float_t	nFatJet
Events	FatJet_rawFactor	Float_t	nFatJet
Events	FatJet_subJetIdx1	Short_t	nFatJet
Events	FatJet_subJetIdx2	Short_t	nFatJet
Events	FatJet_tau1	Float_t	nFatJet
Events	FatJet_tau2	Float_t	nFatJet
Events	FatJet_tau3	Float_t	nFatJet
Events	FatJet_tau4	Float_t	nFatJet
Events	FiducialMET_phi	Float_t	
Events	FiducialMET_pt	Float_t	
Events	Flag_BadChargedCandidateFilter	Bool_t	
Events	Flag_BadChargedCandidateSummer16Filter	Bool_t	
Events	Flag_BadPFMuonDzFilter	Bool_t	
Events	Flag_BadPFMuonFilter	Bool_t	
Events	Flag_BadPFMuonSummer16Filter	Bool_t	
Events	Flag_CSCTightHalo2015Filter	Bool_t	
Events	Flag_CSCTightHaloFilter	Bool_t	
Events	Flag_CSCTightHaloTrkMuUnvetoFilter	Bool_t	
Events	Flag_EcalDeadCellBoundaryEnergyFilter	Bool_t	
Events	Flag_EcalDeadCellTriggerPrimitiveFilter	Bool_t	
Events	Flag_HBHENoiseFilter	Bool_t	
Events	Flag_HBHENoiseIsoFilter	Bool_t	
Events	Flag_HcalStripHaloFilter	Bool_t	
Events	Flag_METFilters	Bool_t	
Events	Flag_chargedHadronTrackResolutionFilter	Bool_t	
Events	Flag_ecalBadCalibFilter	Bool_t	
Events	Flag_ecalLaserCorrFilter	Bool_t	
Events	Flag_eeBadScFilter	Bool_t	
Events	Flag_globalSuperTightHalo2016Filter	Bool_t	
Events	Flag_globalTightHalo2016Filter	Bool_t	
Events	Flag_goodVertices	Bool_t	
Events	Flag_hcalLaserEventFilter	Bool_t	
Events	Flag_hfNoisyHitsFilter	Bool_t	
Events	Flag_muonBadTrackFilter	Bool_t	
Events	Flag_trkPOGFilters	Bool_t	
Events	Flag_trkPOG_logErrorTooManyClusters	Bool_t	
Events	Flag_trkPOG_manystripclus53X	Bool_t	
Events	Flag_trkPOG_toomanystripclus53X	Bool_t	
Events	FsrPhoton_dROverEt2	Float_t	nFsrPhoton
Events	FsrPhoton_electronIdx	Short_t	nFsrPhoton
Events	FsrPhoton_eta	Float_t	nFsrPhoton
Events	FsrPhoton_muonIdx	Short_t	nFsrPhoton
Events	FsrPhoton_phi	Float_t	nFsrPhoton
Events	FsrPhoton_pt	Float_t	nFsrPhoton
Events	FsrPhoton_relIso03	Float_t	nFsrPhoton
Events	GenDressedLepton_eta	Float_t	nGenDressedLepton
Events	GenDressedLepton_hasTauAnc	Bool_t	nGenDressedLepton
Events	GenDressedLepton_mass	Float_t	nGenDressedLepton
Events	GenDressedLepton_pdgId	Int_t	nGenDressedLepton
Events	GenDressedLepton_phi	Float_t	nGenDressedLepton
Events	GenDressedLepton_pt	Float_t	nGenDressedLepton
Events	GenIsolatedPhoton_eta	Float_t	nGenIsolatedPhoton
Events	GenIsolatedPhoton_mass	Float_t	nGenIsolatedPhoton
Events	GenIsolatedPhoton_phi	Float_t	nGenIsolatedPhoton
Events	GenIsolatedPhoton_pt	Float_t	nGenIsolatedPhoton
Events	GenJetAK8_eta	Float_t	nGenJetAK8
Events	GenJetAK8_hadronFlavour	UChar_t	nGenJetAK8
Events	GenJetAK8_mass	Float_t	nGenJetAK8
